source,target,messageCount
103,56,2
103,561,11
103,566,1
103,569,3
103,577,2
103,58,5
103,587,2
103,592,5
103,593,1
103,596,2
103,598,12
103,599,22
103,601,5
103,605,27
103,61,1
103,617,72
103,62,3
103,63,30
103,638,12
103,639,4
103,652,4
103,658,8
103,66,4
103,673,13
103,675,1
103,683,10
103,686,4
103,688,6
103,697,1
103,699,1
103,700,1
103,701,3
103,708,4
103,711,1
103,712,13
103,713,12
103,72,25
103,721,1
103,731,2
103,734,16
103,758,3
103,765,2
103,774,1
103,783,10
103,795,1
103,798,1
103,799,15
103,8,1
103,801,1
103,809,2
103,815,1
103,817,2
103,819,1
103,82,1
103,823,1
103,831,2
103,835,2
103,839,1
103,840,8
103,841,16
103,843,1
103,85,1
103,853,5
103,86,2
103,864,1
103,868,1
103,874,4
103,886,1
103,893,2
103,899,2
103,908,3
103,917,2
103,919,7
103,920,7
103,928,4
103,929,1
103,93,1
103,930,1
103,931,1
103,932,1
103,938,7
103,948,1
103,954,8
103,957,1
103,967,3
103,969,6
103,97,2
103,973,13
103,974,1
103,975,3
103,978,1
103,98,1
103,983,6
103,986,2
103,988,6
1030,620,2
1031,1109,2
1031,1180,1
1031,1739,1
1031,27,1
1031,42,6
1031,575,2
1031,646,1
1031,650,1
1031,651,2
1031,707,3
1031,831,8
1031,840,4
1032,1004,8
1032,1008,1
1032,1028,1
1032,1056,7
1032,1186,4
1032,1213,4
1032,1283,1
1032,277,7
1032,409,1
1032,523,5
1032,598,2
1032,687,1
1032,713,2
1032,735,1
1032,752,2
1032,783,84
1032,823,45
1032,840,11
1033,105,3
1033,1056,3
1033,1072,4
1033,1137,3
1033,1158,3
1033,1188,3
1033,1209,4
1033,1211,6
1033,1280,2
1033,1281,34
1033,1292,1
1033,1355,3
1033,1377,7
1033,1381,10
1033,1402,1
1033,1423,2
1033,1435,2
1033,1443,5
1033,145,5
1033,149,1
1033,1496,2
1033,1585,3
1033,1594,2
1033,1605,1
1033,194,2
1033,26,2
1033,302,1
1033,325,7
1033,36,6
1033,379,1
1033,437,23
1033,463,3
1033,479,4
1033,542,5
1033,548,1
1033,576,15
1033,590,2
1033,598,5
1033,639,9
1033,701,1
1033,753,2
1033,765,9
1033,768,2
1033,823,5
1033,847,1
1034,1000,1
1034,1036,5
1034,1039,2
1034,1042,1
1034,105,1
1034,1118,26
1034,1127,1
1034,1128,3
1034,1166,2
1034,1189,5
1034,1190,9
1034,1253,1
1034,1283,1
1034,1313,7
1034,1338,1
1034,1576,1
1034,1624,2
1034,1730,1
1034,311,1
1034,32,8
1034,379,2
1034,462,23
1034,638,1
1034,67,2
1034,69,1
1034,697,11
1034,701,11
1034,711,24
1034,788,1
1034,853,4
1034,938,2
1035,1000,3
1035,938,1
1036,1034,5
1036,1039,1
1036,105,1
1036,1123,12
1036,1184,2
1036,1325,9
1036,1338,1
1036,1520,4
1036,299,1
1036,32,2
1036,323,10
1036,454,6
1036,475,3
1036,507,2
1036,557,4
1036,58,1
1036,609,1
1036,626,1
1036,701,1
1036,713,11
1036,719,5
1036,792,31
1036,986,1
1037,1072,1
1037,1280,1
1037,143,8
1037,1517,2
1037,233,4
1037,274,1
1037,311,3
1037,379,1
1037,447,4
1037,460,1
1037,547,2
1037,595,6
1037,682,1
1037,707,1
1037,712,2
1037,900,2
1038,1026,1
1038,1039,2
1038,1280,2
1038,1281,3
1038,132,1
1038,145,1
1038,1489,3
1038,402,1
1038,502,1
1038,576,4
1038,594,2
1038,638,1
1038,781,3
1039,1034,2
1039,1036,1
1039,1038,2
1039,1042,3
1039,105,3
1039,12,3
1039,1227,5
1039,1269,1
1039,1283,1
1039,1287,1
1039,131,2
1039,1316,7
1039,132,2
1039,1539,6
1039,1598,4
1039,1632,5
1039,194,1
1039,234,1
1039,254,20
1039,278,3
1039,32,1
1039,342,22
1039,357,2
1039,41,1
1039,423,1
1039,431,1
1039,509,2
1039,586,1
1039,67,10
1039,72,47
1039,801,2
1039,9,1
1039,943,1
104,204,1
104,36,2
104,59,2
104,638,1
104,69,1
104,713,1
104,817,5
104,97,3
1040,1000,3
1040,1045,2
1040,342,2
1040,41,8
1040,939,2
1041,1000,2
1041,357,3
1041,41,22
1041,422,5
1041,442,2
1041,523,1
1041,546,6
1041,75,2
1041,80,5
1042,1034,1
1042,1039,3
1042,1056,4
1042,12,3
1042,1244,1
1042,1255,10
1042,1260,53
1042,1281,5
1042,1330,1
1042,1338,3
1042,143,2
1042,145,9
1042,1568,3
1042,1624,10
1042,1641,2
1042,1648,3
1042,1675,2
1042,1730,6
1042,1792,2
1042,220,2
1042,3,1
1042,308,5
1042,318,4
1042,32,15
1042,323,10
1042,337,5
1042,34,3
1042,389,3
1042,449,1
1042,52,4
1042,527,5
1042,53,1
1042,574,1
1042,615,17
1042,638,6
1042,67,6
1042,681,5
1042,697,1
1042,712,20
1042,713,5
1042,758,1
1042,781,6
1042,784,2
1042,802,3
1042,997,2
1043,1072,1
1043,1142,2
1043,1236,5
1043,1585,10
1043,236,2
1043,41,6
1043,42,1
1043,454,154
1043,495,13
1043,713,9
1043,840,2
1043,97,3
1044,1184,1
1044,1402,12
1044,323,7
1044,753,5
1044,758,3
1045,1026,3
1045,1040,2
1045,269,5
1045,638,3
1045,654,4
1045,72,3
1046,1014,3
1046,1543,1
1046,19,1
1047,323,2
1047,377,1
1047,545,2
1047,555,2
1048,517,1
1049,1050,1
1049,1199,1
1049,1665,1
1049,1741,1
1049,191,2
1049,245,1
1049,325,7
1049,42,2
1049,495,5
1049,502,6
1049,523,2
1049,638,6
1049,713,2
1049,831,3
105,101,1
105,1021,4
105,1027,5
105,1033,3
105,1034,1
105,1036,1
105,1039,3
105,1050,1
105,1051,1
105,1055,1
105,1068,1
105,1069,1
105,107,1
105,1083,7
105,1099,1
105,1100,2
105,1102,1
105,1103,1
105,1104,1
105,1105,1
105,1107,1
105,1108,1
105,1111,1
105,1116,1
105,1117,1
105,1118,12
105,1122,1
105,1123,1
105,1124,1
105,1125,1
105,1127,7
105,1129,1
105,1130,1
105,1131,1
105,1132,11
105,1134,2
105,1138,1
105,1139,1
105,114,2
105,1141,1
105,1142,1
105,1143,1
105,1144,1
105,1145,1
105,1146,1
105,1147,1
105,1148,2
105,1149,1
105,1150,1
105,1151,1
105,1152,1
105,1153,1
105,1156,1
105,1157,1
105,1168,3
105,1181,5
105,1189,1
105,1215,1
105,1246,2
105,1255,3
105,1276,2
105,128,2
105,1281,1
105,129,1
105,1308,5
105,1312,8
105,132,1
105,1338,6
105,1349,1
105,135,4
105,1353,2
105,1372,1
105,1373,11
105,1387,2
105,1395,1
105,140,2
105,1402,24
105,1406,13
105,1421,1
105,1423,1
105,144,3
105,1444,4
105,1463,1
105,1485,1
105,1487,3
105,1518,1
105,1543,3
105,155,2
105,1573,1
105,1585,4
105,1624,141
105,1625,2
105,1641,1
105,1644,21
105,1648,1
105,1655,1
105,1667,1
105,1675,8
105,1724,24
105,1727,2
105,1730,3
105,1731,1
105,1743,1
105,175,4
105,1756,11
105,1771,16
105,1781,8
105,1783,1
105,1789,15
105,1792,1
105,180,5
105,1831,6
105,19,1
105,209,1
105,212,3
105,250,1
105,252,1
105,263,1
105,27,2
105,288,11
105,3,1
105,307,1
105,308,5
105,314,1
105,317,3
105,32,22
105,323,4
105,33,1
105,332,1
105,337,6
105,339,1
105,343,1
105,353,1
105,358,4
105,36,7
105,367,12
105,388,1
105,393,1
105,398,56
105,404,1
105,41,1
105,415,3
105,42,4
105,439,2
105,44,5
105,454,2
105,456,2
105,463,13
105,474,37
105,475,8
105,482,1
105,487,1
105,494,5
105,498,9
105,52,9
105,523,1
105,540,1
105,557,4
105,56,3
105,561,23
105,563,1
105,569,37
105,576,12
105,577,1
105,58,1
105,585,1
105,595,1
105,596,1
105,598,1
105,599,3
105,600,1
105,603,1
105,605,4
105,606,7
105,61,5
105,615,7
105,621,19
105,624,1
105,626,7
105,63,4
105,632,1
105,638,4
105,639,17
105,640,1
105,644,2
105,652,9
105,654,3
105,674,1
105,675,1
105,679,1
105,683,1
105,697,5
105,701,7
105,704,1
105,708,3
105,711,9
105,712,1
105,713,8
105,716,1
105,72,2
105,724,1
105,739,2
105,758,1
105,783,2
105,794,1
105,8,2
105,81,1
105,814,1
105,831,2
105,852,1
105,859,7
105,871,1
105,874,1
105,884,1
105,899,2
105,9,1
105,90,1
105,915,1
105,927,1
105,938,4
105,96,1
105,964,7
105,97,1
105,990,1
105,992,1
105,993,1
105,995,4
1050,1026,1
1050,1049,1
1050,105,1
1050,1146,2
1050,1167,1
1050,1236,1
1050,127,1
1050,1454,1
1050,199,3
1050,32,1
1050,342,1
1050,372,3
1050,42,5
1050,495,5
1050,498,2
1050,509,1
1050,704,1
1050,831,2
1050,871,1
1050,878,1
1050,884,1
1050,9,2
1050,939,4
1051,105,1
1051,1178,1
1051,1283,1
1051,194,1
1051,199,1
1051,377,1
1051,392,1
1051,687,1
1051,701,3
1051,843,1
1052,1002,2
1052,1118,6
1052,1136,9
1052,1184,2
1052,1238,5
1052,1260,1
1052,1338,10
1052,1365,2
1052,1624,28
1052,1648,3
1052,175,1
1052,1789,4
1052,1792,2
1052,1796,5
1052,1859,8
1052,1865,1
1052,1868,1
1052,1881,6
1052,420,1
1052,626,4
1052,635,1
1052,697,4
1052,701,1
1052,708,4
1052,711,1
1052,713,2
1052,72,3
1053,1076,1
1053,1269,1
1053,201,1
1053,250,1
1053,32,1
1053,546,1
1053,704,1
1054,212,3
1054,277,4
1054,392,2
1054,639,2
1054,687,5
1054,994,1
1055,105,1
1056,1004,10
1056,1032,7
1056,1033,3
1056,1042,4
1056,1186,6
1056,1375,1
1056,1539,3
1056,1669,1
1056,176,2
1056,194,1
1056,212,2
1056,250,1
1056,252,3
1056,308,2
1056,322,1
1056,341,3
1056,361,4
1056,41,1
1056,609,2
1056,687,25
1056,733,1
1056,994,1
1057,831,1
1058,1142,9
1058,345,2
1058,708,1
1059,1243,1
1059,1603,2
1059,325,2
1059,36,2
1059,389,5
1059,542,2
1059,548,2
1059,638,1
1059,713,26
106,72,2
106,787,1
1060,103,7
1060,1117,2
1060,1187,4
1060,191,11
1060,199,12
1060,249,1
1060,377,3
1060,422,7
1060,545,1
1060,555,2
1060,567,2
1060,590,2
1060,704,1
1060,83,1
1060,859,1
1060,871,2
1061,1062,1
1062,1061,1
1062,1190,1
1062,1349,2
1062,1419,1
1062,1444,2
1062,1451,1
1062,1453,1
1062,1455,1
1062,1470,1
1062,346,1
1062,353,2
1062,357,2
1062,42,9
1062,640,1
1062,9,4
1063,1283,1
1063,1548,1
1063,1749,1
1063,194,1
1063,615,1
1063,621,1
1063,835,3
1064,1216,2
1064,1375,1
1064,168,1
1064,447,2
1064,475,1
1064,783,3
1065,1281,1
1065,517,2
1065,538,2
1065,570,4
1065,586,3
1066,1072,6
1066,1426,2
1066,1497,1
1066,277,14
1066,339,1
1066,475,3
1066,495,3
1066,638,3
1066,713,1
1066,815,3
1066,840,5
1067,704,1
1068,105,1
1068,1189,2
1068,12,5
1068,1235,5
1068,1334,3
1068,1539,7
1068,1562,5
1068,189,1
1068,19,1
1068,214,1
1068,250,15
1068,308,2
1068,32,4
1068,339,1
1068,342,4
1068,357,3
1068,498,3
1068,674,3
1068,72,15
1068,834,21
1068,949,2
1069,102,1
1069,1021,1
1069,1023,1
1069,105,1
1069,1332,1
1069,1339,1
1069,1476,2
1069,1539,4
1069,1717,1
1069,1727,3
1069,19,1
1069,252,3
1069,308,2
1069,317,2
1069,325,8
1069,361,1
1069,421,2
1069,542,9
1069,545,1
1069,559,2
1069,560,1
1069,586,1
1069,687,3
1069,74,1
1069,878,5
1069,884,1
1069,98,3
107,105,1
1070,118,4
1070,204,4
1070,542,3
1070,598,12
1070,697,4
1071,1130,1
1071,1255,1
1071,1343,2
1071,282,5
1071,598,7
1071,638,1
1071,652,1
1071,809,1
1072,1004,1
1072,1023,1
1072,103,6
1072,1033,4
1072,1037,1
1072,1043,1
1072,1066,6
1072,1080,3
1072,1105,1
1072,1158,94
1072,1189,3
1072,127,1
1072,1292,1
1072,1297,3
1072,1433,2
1072,1713,10
1072,1725,2
1072,19,1
1072,209,1
1072,214,2
1072,29,3
1072,32,1
1072,325,15
1072,34,3
1072,341,5
1072,370,2
1072,482,2
1072,498,3
1072,539,2
1072,542,14
1072,560,12
1072,567,1
1072,586,1
1072,615,4
1072,640,2
1072,67,2
1072,681,1
1072,704,2
1072,770,1
1072,777,2
1072,800,40
1072,809,6
1072,830,2
1072,865,1
1072,878,7
1072,90,1
1073,323,3
1074,1713,3
1074,249,1
1074,516,1
1074,834,1
1075,1440,3
1075,1624,3
1075,1675,1
1075,1748,3
1075,319,2
1075,708,4
1076,1053,1
1076,1082,3
1076,697,4
1076,783,1
1077,1185,2
1077,840,1
1077,926,2
1078,103,9
1078,1079,3
1078,19,3
1079,1078,3
1079,1313,2
1079,1344,3
1079,1616,1
1079,1624,7
1079,1644,22
1079,1865,1
1079,1881,11
1079,27,40
1079,282,2
1079,674,5
1079,868,6
1079,983,34
108,121,1
108,34,1
108,400,1
1080,1072,3
1080,12,1
1080,1207,2
1080,128,1
1080,598,1
1080,638,4
1080,792,2
1081,1342,2
1081,32,2
1081,638,1
1082,1076,3
1083,105,7
1083,1127,3
1083,1181,3
1083,1215,4
1083,1287,2
1083,1402,7
1083,175,1
1083,194,1
1083,296,3
1083,299,2
1083,323,5
1083,679,2
1083,85,2
1084,194,1
1085,194,1
1086,194,1
1087,1088,1
1087,1131,3
1087,1132,2
1087,1136,1
1087,1183,1
1087,1187,4
1087,1270,1
1087,1283,1
1087,1284,2
1087,307,1
1087,341,4
1087,353,1
1087,595,2
1088,1087,1
1089,1365,5
1089,1367,1
1089,1412,3
1089,765,6
1089,882,2
1089,975,1
109,1000,3
109,103,9
109,12,1
109,124,4
109,1543,2
109,1736,1
109,185,1
109,19,8
109,190,1
109,214,2
109,250,1
109,282,5
109,32,3
109,325,1
109,34,2
109,36,7
109,38,1
109,400,5
109,681,3
109,719,2
109,79,1
109,9,5
109,95,3
109,991,1
1090,852,1
1090,881,3
1091,1269,1
1091,1312,3
1091,42,1
1091,431,1
1091,704,1
1091,876,2
1092,1269,1
1092,67,1
1092,704,1
1092,939,1
1093,1131,1
1093,1132,3
1093,1206,2
1093,1624,3
1093,277,1
1093,32,5
1093,341,4
1093,523,6
1093,598,4
1093,638,4
1093,701,3
1093,793,1
1093,950,4
1094,143,1
1094,991,3
1095,679,1
1096,934,1
1097,103,3
1097,1104,1
1097,1170,1
1097,1189,3
1097,127,3
1097,1270,3
1097,1283,6
1097,1899,1
1097,191,12
1097,194,2
1097,250,1
1097,285,4
1097,342,4
1097,42,1
1097,437,2
1097,440,5
1097,456,2
1097,509,1
1097,586,7
1097,609,2
1097,687,7
1097,871,2
1097,884,8
1098,19,2
1099,105,1
1099,19,1
1099,32,4
1099,644,2
11,400,1
11,41,1
11,9,1
110,36,2
110,638,3
1100,103,1
1100,105,2
1100,1215,6
1100,1248,3
1100,1619,1
1100,228,1
1100,250,1
1100,498,1
1100,50,3
1100,674,1
1100,704,1
1100,753,3
1100,817,1
1101,1138,2
1101,128,4
1101,1417,1
1101,1493,5
1101,194,3
1101,297,7
1101,375,1
1101,475,2
1101,498,2
1101,513,5
1101,53,1
1101,595,6
1101,638,2
1101,687,1
1101,713,9
1101,72,1
1101,809,1
1102,105,1
1102,12,1
1102,350,1
1102,514,2
1103,1004,3
1103,105,1
1103,1118,3
1103,1153,2
1103,1189,7
1103,1305,1
1103,1441,1
1103,1539,1
1103,1543,1
1103,1713,1
1103,249,1
1103,252,3
1103,254,1
1103,3,1
1103,309,4
1103,32,1
1103,327,1
1103,357,1
1103,425,9
1103,440,2
1103,475,1
1103,482,1
1103,509,2
1103,539,2
1103,542,3
1103,615,1
1103,640,2
1103,67,2
1103,770,2
1103,84,1
1103,871,1
1103,939,4
1103,994,1
1104,1021,3
1104,105,1
1104,1097,1
1104,260,3
1104,338,1
1104,540,6
1105,105,1
1105,1072,1
1105,1154,1
1105,1283,1
1105,1284,2
1105,1409,2
1105,1440,6
1105,199,6
1105,475,50
1105,492,1
1105,840,3
1105,963,3
1106,12,1
1107,1012,1
1107,105,1
1107,1598,1
1107,260,2
1107,338,1
1107,586,2
1108,105,1
1108,615,1
1108,992,1
1109,1031,2
111,112,1
111,19,1
111,523,1
1110,1146,1
1110,1434,3
1110,281,8
1110,3,4
1110,308,1
1110,343,1
1110,474,1
1110,63,2
1110,658,4
1110,752,1
1111,105,1
1111,1190,7
1111,144,2
1111,1582,2
1111,249,5
1111,317,4
1111,357,1
1111,372,4
1111,393,4
1111,394,2
1111,41,1
1111,431,1
1111,509,1
1111,777,1
1112,250,1
1113,101,1
1113,1131,3
1113,1160,1
1113,1161,2
1113,1182,2
1113,1207,1
1113,1214,19
1113,1216,4
1113,1255,22
1113,128,30
1113,1283,1
1113,1294,1
1113,1306,1
1113,1343,18
1113,1348,1
1113,135,6
1113,1395,10
1113,142,1
1113,1436,7
1113,1463,1
1113,1468,3
1113,1493,14
1113,1509,2
1113,1517,3
1113,1541,1
1113,1553,1
1113,1565,1
1113,1568,6
1113,1603,1
1113,1647,5
1113,1665,6
1113,233,5
1113,277,1
1113,294,1
1113,297,1
1113,3,2
1113,309,7
1113,323,6
1113,339,1
1113,353,6
1113,389,1
1113,396,3
1113,42,1
1113,437,15
1113,495,31
1113,508,1
1113,536,11
1113,544,11
1113,576,3
1113,598,1
1113,607,1
1113,609,1
1113,638,3
1113,673,3
1113,70,12
1113,710,7
1113,739,1
1113,774,1
1113,783,5
1113,794,3
1113,815,9
1113,823,20
1113,840,6
1113,886,1
1113,928,5
1113,933,3
1113,969,3
1113,987,1
1113,990,13
1114,1188,2
1114,1424,2
1114,523,1
1114,575,1
1114,63,1
1114,843,1
1115,306,1
1116,105,1
1116,615,2
1117,1023,9
1117,105,1
1117,1060,2
1117,1227,5
1117,1295,5
1117,1335,5
1117,1507,2
1117,1713,3
1117,1876,1
1117,214,1
1117,249,2
1117,3,1
1117,306,2
1117,372,3
1117,376,1
1117,377,4
1117,42,1
1117,431,2
1117,509,1
1117,551,2
1117,555,2
1117,615,3
1117,856,10
1118,103,5
1118,1034,26
1118,105,12
1118,1052,6
1118,1103,3
1118,12,89
1118,1231,4
1118,1236,4
1118,1281,2
1118,1283,2
1118,1521,2
1118,1542,1
1118,1543,2
1118,1601,3
1118,1667,2
1118,1678,2
1118,1713,4
1118,1737,1
1118,249,2
1118,250,7
1118,303,2
1118,308,14
1118,341,1
1118,357,9
1118,53,1
1118,560,5
1118,598,5
1118,620,2
1118,632,2
1118,640,10
1118,644,2
1118,681,24
1118,733,1
1118,749,2
1118,770,3
1118,794,2
1118,834,7
1118,9,9
1118,942,2
1118,95,10
1118,994,1
1119,1026,2
112,111,1
112,266,1
112,36,2
112,617,1
1120,306,1
1120,317,2
1120,408,1
1120,545,2
1121,12,1
1121,142,11
1121,415,5
1121,797,2
1121,9,1
1122,105,1
1122,306,1
1122,377,1
1122,408,1
1123,1036,12
1123,105,1
1123,1325,7
1123,1326,1
1123,507,2
1124,105,1
1124,128,1
1124,323,2
1124,638,3
1124,72,2
1125,105,1
1125,309,1
1126,103,4
1126,1178,1
1126,1302,4
1126,285,1
1126,289,6
1126,994,1
1127,1015,1
1127,1034,1
1127,105,7
1127,1083,3
